,Id,App,Reviews,Rating,Current Version,Category,Type,Size,Price,Content Rating
1,281656475,PAC-MAN Premium,21292,4.0,6.3.5,Games,Paid,96.1M,3.99$,Everyone
2,281796108,Evernote - stay organized,161065,4.0,8.2.2,Productivity,Free,151.2M,0.0$,Everyone
3,281940292,"WeatherBug - Local Weather, Radar, Maps, Alerts",188583,3.5,5.0.0,Weather,Free,95.9M,0.0$,Everyone
4,282614216,"eBay: Best App to Buy, Sell, Save! Online Shopping",262241,4.0,5.10.0,Shopping,Free,122.6M,0.0$,Everyone 12+
5,282935706,Bible,985920,4.5,7.5.1,Reference,Free,88.5M,0.0$,Everyone
6,283619399,Shanghai Mahjong,8253,4.0,1.8,Games,Paid,10.0M,0.99$,Everyone
7,283646709,PayPal - Send and request money safely,119487,4.0,6.12.0,Finance,Free,217.2M,0.0$,Everyone
8,284035177,Pandora - Music & Radio,1126879,4.0,8.4.1,Music,Free,124.2M,0.0$,Everyone 12+
9,284666222,PCalc - The Best Calculator,1117,4.5,3.6.6,Utilities,Paid,47.0M,9.99$,Everyone
10,284736660,Ms. PAC-MAN,7885,4.0,4.0.4,Games,Paid,66.8M,3.99$,Everyone
11,284791396,Solitaire by MobilityWare,76720,4.5,4.10.1,Games,Paid,47.3M,4.99$,Everyone
12,284815117,SCRABBLE Premium,105776,3.5,5.19.0,Games,Paid,217.0M,7.99$,Everyone
13,284815942,Google – Search made just for mobile,479440,3.5,27.0,Utilities,Free,171.6M,0.0$,Adults only
14,284847138,Bank of America - Mobile Banking,119773,3.5,7.3.8,Finance,Free,153.5M,0.0$,Everyone
15,284862767,FreeCell,6340,4.5,4.0.3,Games,Paid,52.6M,4.99$,Everyone
16,284876795,TripAdvisor Hotels Flights Restaurants,56194,4.0,21.1,Travel,Free,198.3M,0.0$,Everyone
17,284882215,Facebook,2974676,3.5,95.0,Social Networking,Free,371.8M,0.0$,Everyone
18,284910350,"Yelp - Nearby Restaurants, Shopping & Services",223885,4.0,11.15.0,Travel,Free,159.7M,0.0$,Everyone 12+
20,284993459,"Shazam - Discover music, artists, videos & lyrics",402925,4.0,11.0.3,Music,Free,140.3M,0.0$,Everyone 12+
21,285005463,Crash Bandicoot Nitro Kart 3D,31456,4.0,1.0.0,Games,Paid,10.2M,2.99$,Everyone
22,285946052,iQuran,2929,4.5,3.3,Reference,Paid,67.4M,1.99$,Everyone
23,285994151,:) Sudoku +,11447,5.0,5.2.6,Games,Paid,5.9M,2.99$,Everyone
24,286058814,"Yahoo Sports - Teams, Scores, News & Highlights",137951,4.0,6.9,Sports,Free,124.5M,0.0$,Everyone
25,286070473,Mileage Log | Fahrtenbuch,8,4.5,9.0.5,Business,Paid,67.9M,5.99$,Everyone
27,286799607,Cleartune - Chromatic Tuner,3241,4.0,2.1.3,Music,Paid,10.9M,3.99$,Everyone
28,286906691,Lifesum – Inspiring healthy lifestyle app,5795,3.5,8.4.1,Health & Fitness,Free,179.3M,0.0$,Everyone
29,286911400,Hangman.,42316,3.0,2.0.6,Games,Free,4.5M,0.0$,Teen
31,288113403,iTranslate - Language Translator & Dictionary,123215,3.5,10.5.4,Productivity,Free,274.6M,0.0$,Everyone
32,288120394,TouchOSC,782,4.0,1.9.8,Music,Paid,4.1M,4.99$,Everyone
33,288419283,RadarScope,3449,4.0,3.4.1,Weather,Paid,164.8M,9.99$,Everyone
34,288429040,LinkedIn,71856,3.5,9.1.32,Social Networking,Free,261.2M,0.0$,Everyone
35,289084315,Period Tracker Deluxe,13350,4.5,9.6,Health & Fitness,Paid,38.4M,1.99$,Everyone 12+
36,289446241,Election 2016 Map,137,3.0,5.0,Entertainment,Paid,2.3M,0.99$,Everyone
37,289523017,Blackjack by MobilityWare,180087,3.5,5.5.3,Games,Free,100.5M,0.0$,Everyone 12+
39,289894882,White Noise,33426,4.0,7.2,Health & Fitness,Paid,42.1M,0.99$,Everyone
40,290638154,iHeartRadio – Free Music & Radio Stations,293228,4.0,8.0.0,Music,Free,111.0M,0.0$,Everyone 12+
41,290807369,Line Rider iRide™,21609,3.5,2.4,Entertainment,Paid,1.6M,1.99$,Teen
42,290986013,Deliveries: a package tracker,4684,4.0,8.0.3,Utilities,Paid,28.6M,4.99$,Everyone
43,291430598,Hurricane Pro,2104,4.5,5.2,Weather,Paid,28.2M,2.99$,Adults only
47,292421271,Fieldrunners,41633,4.0,1.7.177604,Games,Paid,63.8M,2.99$,Teen
48,292628469,Juxtaposer,3610,4.5,3.8.2,Photo & Video,Paid,43.1M,2.99$,Everyone
49,292738169,Deezer - Listen to your Favorite Music & Playlists,4677,3.0,6.19.0,Music,Free,121.6M,0.0$,Everyone 12+
50,293118835,iStellar,30,3.5,2.9.0,Navigation,Paid,42.2M,3.99$,Everyone
51,293523031,Sonos Controller,48905,4.5,7.2,Music,Free,103.0M,0.0$,Everyone
52,293573778,Avertinoo,32,3.0,3.9.2,Navigation,Paid,7.7M,4.99$,Everyone
53,293622097,Google Earth,446185,3.5,7.1.6,Travel,Free,35.5M,0.0$,Everyone
54,293760823,iFart - The Original Fart Sounds App,21825,3.0,4.0.8,Entertainment,Paid,57.5M,1.99$,Teen
55,293778748,PAC-MAN,508808,3.0,6.3.5,Games,Free,96.2M,0.0$,Everyone
57,294056623,FOX Sports Mobile,57500,3.0,3.5.13,Sports,Free,69.4M,0.0$,Everyone
58,294536447,First Words Animals,2576,4.0,7.0,Games,Paid,30.7M,1.99$,Everyone
59,294631159,WeatherPro,1572,4.0,4.8.2,Weather,Paid,65.9M,1.99$,Everyone
60,294934058,HotSchedules,3292,3.0,4.56.1,Business,Paid,78.2M,2.99$,Everyone
61,295430577,Star Walk - Find Stars And Planets in Sky Above,8932,4.5,7.2.3,Education,Paid,143.2M,4.99$,Everyone
62,295646461,"The Weather Channel: Forecast, Radar & Alerts",495626,3.5,8.11,Weather,Free,190.5M,0.0$,Everyone
63,295759189,Big Day - Event Countdown,812,3.0,8.2.0,Lifestyle,Paid,12.5M,0.99$,Everyone
64,295775656,12 Steps AA Companion - Alcoholics Anonymous,1583,3.5,2.5.9.2,Lifestyle,Paid,29.0M,2.99$,Everyone 12+
65,296581815,OpenTable - Restaurant Reservations,113936,4.5,10.18.0,Food & Drink,Free,89.1M,0.0$,Everyone
66,297244048,VLC Remote,2027,4.0,9.30,Entertainment,Paid,30.0M,4.99$,Everyone
67,297332787,gFlashPro - Flashcards & Tests,768,4.0,7.1,Education,Paid,24.8M,3.99$,Everyone
68,297368629,Lose It! – Weight Loss Program and Calorie Counter,373835,4.0,8.0.2,Health & Fitness,Free,173.6M,0.0$,Everyone
69,297430070,Target,108131,3.0,8.21.0,Shopping,Free,132.3M,0.0$,Everyone
70,297606726,Fish Tycoon,18943,3.5,1.1.0,Games,Paid,12.9M,0.99$,Everyone
71,297606951,"Amazon App: shop, scan, compare, and read reviews",126312,3.5,9.10.0,Shopping,Free,127.5M,0.0$,Everyone
72,297694601,Touchgrind,35735,4.0,1.5.1,Games,Paid,52.6M,4.99$,Everyone
73,298127110,ProPresenter Remote,410,3.0,4.8.1,Utilities,Paid,44.7M,4.99$,Everyone
74,298206806,iReal Pro - Music Book & Play Along,1390,4.5,7.0.1,Music,Paid,60.4M,12.99$,Everyone
75,298596830,NRJ Radio,38,3.5,5.2.6,Music,Free,51.0M,0.0$,Everyone
76,298867247,Chase Mobile℠,233270,4.5,2.610,Finance,Free,37.7M,0.0$,Everyone
77,299029654,大辞林,64,4.5,4.1.1,Reference,Paid,200.4M,21.99$,Everyone
79,299515267,Allrecipes Dinner Spinner,109349,3.5,6.3,Food & Drink,Free,34.7M,0.0$,Everyone 12+
80,299853944,新浪新闻-阅读最新时事热门头条资讯视频,2229,3.5,6.2.1,News,Free,109.8M,0.0$,Adults only
81,299949744,MotionX GPS,14970,3.5,24.2,Navigation,Paid,53.9M,1.99$,Everyone
82,300048137,AccuWeather - Weather for Life,144214,3.5,10.4.1,Weather,Free,173.5M,0.0$,Everyone
83,300238550,"Mint: Personal Finance, Budget, Bills & Money",232940,4.0,5.9.0,Finance,Free,155.3M,0.0$,Everyone
84,300255638,ABC News - US & World News + Live Video,48407,3.0,5.16,News,Free,93.6M,0.0$,Everyone 12+
85,300265786,Rowmote: Remote Control for Mac,5531,3.5,4.3,Utilities,Paid,51.6M,0.99$,Everyone
86,300590611,Peekaboo Barn,3393,4.0,5.1.0,Education,Paid,47.8M,1.99$,Everyone
87,300704847,Speedtest by Ookla,65016,3.5,3.8.2,Utilities,Free,22.8M,0.0$,Everyone
89,301387274,Pocket God,187529,4.0,1.48.2,Entertainment,Paid,138.6M,0.99$,Teen
90,301521403,Nike+ Training Club - Workouts & Fitness Plans,33969,3.5,5.4.1,Health & Fitness,Free,133.9M,0.0$,Everyone
91,301724680,Citi Mobile®,48822,3.5,8.5.0,Finance,Free,268.2M,0.0$,Everyone
92,302049354,Phase 10 Pro - Play Your Friends!,59155,4.5,3.2.0,Games,Paid,63.6M,1.99$,Everyone
93,302584613,"Kindle – Read eBooks, Magazines & Textbooks",252076,3.5,5.11,Book,Free,161.9M,0.0$,Everyone
95,303058767,MASH,4913,4.0,3.3.2,Games,Paid,39.8M,1.99$,Teen
96,303191318,同花顺-炒股、股票,1744,3.5,10.10.46,Finance,Free,117.2M,0.0$,Everyone
97,303337299,Wedding Dash Deluxe,16567,4.5,2.29.13,Games,Paid,53.2M,0.99$,Everyone
99,303849934,Beer Pong Game,187315,2.0,17.05.15,Games,Free,180.2M,0.0$,Adults only
100,304731501,Tempo - Metronome with Setlists,4781,4.5,3.9.2,Music,Paid,21.2M,2.99$,Everyone
101,304770340,Skat,94,4.5,11.0.10,Games,Paid,63.1M,3.99$,Everyone
102,304871603,Color Splash,29554,4.0,3.6.1,Photo & Video,Paid,26.8M,0.99$,Everyone
103,304871622,Zombieville USA,32988,4.0,1.7,Games,Paid,26.7M,0.99$,Everyone 12+
104,304878510,Skype for iPhone,373519,3.5,6.35.1,Social Networking,Free,127.1M,0.0$,Everyone
105,305343404,Tumblr,334293,4.0,8.6,Social Networking,Free,144.6M,0.0$,Adults only
106,305557780,iSwap Faces,2302,3.5,5.1,Photo & Video,Paid,25.8M,1.99$,Everyone
107,305939712,Match™ - #1 Dating App.,60659,3.0,17.05.01,Social Networking,Free,96.6M,0.0$,Adults only
108,306169895,Tozzle - Toddler's favorite puzzle,2562,4.0,5.1,Games,Paid,160.4M,2.99$,Everyone
109,306257910,HomeBudget with Sync,3042,3.5,3.3.0,Finance,Paid,16.7M,4.99$,Everyone
110,306375551,Wind Meter,338,2.5,5.0,Weather,Paid,5.0M,0.99$,Everyone
111,306468004,Map My Run+ - GPS Running & Workout Tracker,16434,4.5,17.5.5,Health & Fitness,Paid,226.9M,2.99$,Everyone
112,306561234,Map My Ride+ - GPS Cycling & Route Tracker,10046,4.5,17.5.5,Health & Fitness,Paid,222.7M,2.99$,Everyone
113,306621789,"HuffPost - News, Politics & Entertainment",29107,3.0,11.2,News,Free,105.3M,0.0$,Everyone 12+
114,306628397,Phrase Party!,878,4.0,8.7.5,Games,Paid,45.6M,1.99$,Adults only
115,306937053,Minesweeper Classic,1140,3.5,3.6,Games,Paid,21.2M,0.99$,Everyone
116,307132353,Sally's Spa,35074,4.5,3.3.0,Games,Paid,411.8M,2.99$,Everyone
117,307184892,"CBS Sports App - Sports Scores, News, Stats, Watch",59639,3.0,10.2.2,Sports,Free,114.8M,0.0$,Adults only
118,307219387,Brain Wave ™ - 32 Advanced Binaural Brainwave Entrainment Programs with iTunes Music and Relaxing Ambience,2913,4.0,7.4,Health & Fitness,Paid,86.6M,4.99$,Everyone
119,307354030,iSwap Faces LITE,39722,3.0,5.1,Photo & Video,Free,29.4M,0.0$,Everyone
120,307386350,DIRECTV,81006,3.5,4.9.705,Entertainment,Free,144.4M,0.0$,Everyone
121,307569751,NYTimes Crossword - Daily Word Puzzle Game,53465,3.5,2.8.1,Games,Free,44.7M,0.0$,Everyone
122,307727765,Doodle Jump,395261,4.5,3.17.6,Games,Paid,46.5M,0.99$,Everyone
123,307741537,LEDit – The LED Banner App,2021,4.5,3.5.1,Utilities,Paid,16.4M,1.99$,Everyone
124,307764057,niconico,182,3.0,6.52,Entertainment,Free,24.6M,0.0$,Adults only
125,307906541,Fandango Movies - Times + Tickets,291787,4.0,8.6,Entertainment,Free,78.1M,0.0$,Everyone
126,308111628,iCab Mobile (Web Browser),2441,4.0,9.9,Utilities,Paid,18.6M,1.99$,Adults only
128,308339980,iRagdoll - Ragdoll Physics,1372,4.0,1.8.3,Games,Paid,113.2M,0.99$,Everyone 12+
129,308368164,Proloquo2Go - Symbol-based AAC,773,4.0,5.0.1,Education,Paid,690.2M,249.99$,Everyone
130,308750436,Dictionary.com Dictionary & Thesaurus,200047,4.0,7.1.3,Reference,Free,106.1M,0.0$,Everyone
132,308834491,20 Minutes.fr - l'actualité en continu,112,3.5,5.0.11,News,Free,104.5M,0.0$,Everyone 12+
133,309025938,The Masters Tournament,148160,4.5,9.0.701,Sports,Free,115.1M,0.0$,Everyone
134,309172177,myAT&T,108507,3.0,5.3,Utilities,Free,65.3M,0.0$,Everyone
135,309187846,SFR TV,46,3.0,7.3.0,Entertainment,Free,116.5M,0.0$,Everyone
136,309465525,"Shutterfly: Prints, Photo Books, Cards Made Easy",51427,4.0,7.7.0,Photo & Video,Free,116.6M,0.0$,Everyone
137,309527804,StickWars,53821,3.5,1.8.9,Games,Paid,16.2M,0.99$,Everyone 12+
138,309735670,Indeed Job Search,38681,4.0,4.3,Business,Free,3.5M,0.0$,Everyone
139,310303959,World Cup Table Tennis™,17776,4.0,4.6.1,Games,Paid,29.9M,0.99$,Everyone
140,310633997,WhatsApp Messenger,287589,4.5,2.17.22,Social Networking,Free,128.8M,0.0$,Everyone
141,310636441,"iStudiez Pro – Homework, Schedule, Grades",7308,4.0,1.9.1,Productivity,Paid,53.2M,2.99$,Everyone
142,310738695,Zillow Real Estate - Homes for Sale & for Rent,342969,4.5,10.4.5,Lifestyle,Free,126.5M,0.0$,Everyone
144,310951782,2XL Supercross,6093,4.0,1.2.1,Games,Paid,258.2M,4.99$,Everyone
146,311466554,Pocket Tanks Deluxe,5452,4.5,2.3.1,Games,Paid,38.0M,4.99$,Teen
148,311548709,Wells Fargo Mobile,43064,3.0,3.55,Finance,Free,54.7M,0.0$,Everyone
150,311762416,radio.de - Der Radioplayer,64,4.5,4.0.5,Music,Free,38.8M,0.0$,Everyone
151,311785642,AutoScout24 - mobile used & new car market,220,4.5,9.1.10,Productivity,Free,134.6M,0.0$,Everyone
152,311972587,Sky Burger - Build & Match Food Free,114096,4.5,3.0.3,Games,Free,139.5M,0.0$,Everyone
153,312220102,MindNode – Delightful Mind Mapping,1296,4.0,4.5.3,Productivity,Paid,49.9M,9.99$,Everyone
154,312266675,Packing Pro,1293,4.0,12.2,Travel,Paid,15.6M,2.99$,Everyone
155,312325565,USAA Mobile,19946,4.0,7.32.3,Finance,Free,156.8M,0.0$,Everyone
156,312343159,The Moron Test,88613,4.0,6.3.1,Entertainment,Free,43.6M,0.0$,Everyone
157,313199385,Sunday Lawn,107727,3.5,1.41.1,Games,Paid,15.3M,0.99$,Everyone
158,314303518,Peggle Classic,21416,4.5,1.7.2,Games,Paid,213.4M,0.99$,Everyone
159,314506629,SmartGo Player,533,4.0,2.5.1,Games,Paid,21.1M,2.99$,Everyone
160,314652382,I Am T-Pain 2.0,32650,3.5,2.0.4,Music,Paid,19.6M,2.99$,Everyone 12+
161,314716233,TextNow - Unlimited Text + Calls,164963,3.5,8.5.1,Social Networking,Free,124.6M,0.0$,Everyone
162,314819528,Boating Weather,141,3.0,4.5,Weather,Paid,8.5M,1.99$,Everyone
163,314855255,Best Buy,80424,4.0,10.11.0,Shopping,Free,172.1M,0.0$,Everyone
164,314864297,I Dig It,17190,4.0,1.12,Games,Paid,18.9M,0.99$,Everyone
165,315021242,Unblock Me,7973,4.0,1.5.95,Games,Paid,40.9M,0.99$,Everyone
166,316025912,Sonic The Hedgehog,19621,4.0,2.1.2,Games,Paid,35.0M,2.99$,Everyone
168,316227296,10 Pin Shuffle Pro Bowling,7315,4.0,2.01,Games,Paid,35.0M,3.99$,Everyone
169,316391924,Sky News,118,3.0,4.6,News,Free,87.4M,0.0$,Everyone 12+
171,317469184,"ESPN: Get scores, news, alerts & watch live sports",290996,3.5,5.7.1,Sports,Free,49.2M,0.0$,Everyone
172,317809458,LiveATC Air Radio,2785,4.0,1.9.0,Travel,Paid,7.9M,3.99$,Everyone
173,317904170,The Sims 3,54408,3.5,1.4.10,Games,Paid,410.2M,6.99$,Everyone 12+
175,318304532,"Chess Pro with Coach - Learn,Play & Online Friends",8138,4.0,2.89,Games,Paid,66.7M,9.99$,Everyone
176,318592730,Guess My Age  Math Magic,123190,3.0,1.1,Education,Free,0.7M,0.0$,Everyone
177,318639200,Crush the Castle,23810,3.5,1.5,Games,Paid,12.4M,0.99$,Everyone 12+
178,319204550,2016 U.S. Open Golf Championship,54192,4.0,8.0.263,Sports,Free,133.1M,0.0$,Everyone
179,319284643,"The Championships, Wimbledon 2016 - Tennis Grand Slam",20953,4.0,8.1,Sports,Free,124.4M,0.0$,Everyone
180,319295332,TuneIn Radio Pro - MLB Audiobooks Podcasts Music,71609,4.5,11.9,Music,Paid,97.2M,9.99$,Everyone 12+
181,319740707,NBC News,32881,3.5,5.11.0,News,Free,50.5M,0.0$,Everyone 12+
182,319881193,"Grindr - Gay and same sex guys chat, meet and date",23201,2.5,3.9.1,Social Networking,Free,76.7M,0.0$,Adults only
183,320029256,Whole Foods Market,17906,3.0,8.3.17,Shopping,Free,131.0M,0.0$,Everyone
184,320279293,NAVIGON Europe,927,3.5,2.17,Navigation,Paid,137.7M,74.99$,Everyone
185,320300350,Virtual Families,18920,3.5,1.1.2,Games,Paid,26.5M,1.99$,Teen
186,320596872,Sparkasse+,30,3.0,3.1.3,Finance,Paid,114.1M,0.99$,Everyone
187,320599923,Sparkasse - Your mobile branch,77,3.0,3.1.3,Finance,Free,114.0M,0.0$,Everyone
